bill_id,primary sponsor,bill_title
HJR 97,"Curtman, Paul",Proposes a constitutional amendment to prohibit the state from imposing penalties on individuals and religious entities who refuse to participate in same sex marriage ceremonies due to religious beliefs
HB 2666,"Lavender, Deb",Modifies provisions relating to the unlawful transfer of weapons
SB 1150,Pearce,Abolishes township road districts
SB 1081,Schaefer,Modifies the composition of the University of Missouri Board of Curators by adding a voting student member
SB 1151,Schaaf,Modifies motor vehicle franchise practices
HCR 99,"Hinson, Dave",Requests Congress to replace the statue of Francis Blair currently in the National Statuary Hall Collection in the U.S. Capitol with a statue of President Harry S Truman
HB 1831,"McGaugh, Joe Don",Allows for the inclusion of respite in the orders for the management of the estate of protectees and dependents for purposes of guardianships
HB 1436,"Kelley, Mike","Establishes ""Toby's Law"", which requires any person who has pled guilty to or been found guilty of driving while intoxicated to complete a victim impact program approved by the court"
HB 1490,"Walton Gray, Rochelle",Establishes the Joint Committee on Missouri Division of Workers' Compensation
HB 2084,"Corlew, Kevin",Modifies provisions relating to first degree murder
SB 1123,Schupp,Modifies the distribution of St. Louis County sales taxes and authorizes a retail sales tax to fund county law enforcement
SB 1122,Schupp,Creates the offense of unlawful transfer of weapons for a licensed firearms dealer to deliver a handgun to a purchaser without waiting at least 24 hours
SB 1092,Riddle,Requires licensed chiropractors and physical therapists to be reimbursed for the provision of MO HealthNet services
SB 1102,Silvey,Allows for a patient's designation of a caregiver to provide care following discharge from a hospital or ambulatory surgical center
SB 683,Cunningham,Removes a property tax exemption for real property belonging to the Missouri Department of Natural Resources
HB 2660,"Rizzo, John",Prohibits employers from discriminating in providing compensation based on gender for the same work
SB 1134,Brown,Creates a tax credit for charitable donations to Love INC
SB 1138,Wallingford,Specifies that royalty payments to a dental franchisor by a licensee of the Dental Board operating a franchised dental office is not unlawful
SB 1143,Romine,"Allows aluminum smelting facilities to submit an application, or aluminum smelting facilities together with an electrical corporation to submit a contract, to the Public Service Commission for an aluminum smelter rate"
SB 1104,Schaefer,Modifies provisions of law regarding claims against public higher education institutions covered by the State Legal Expense Fund
SB 1145,Nasheed,Modifies provisions relating to children involved in trafficking and prostitution
HB 2661,"Rizzo, John",Reauthorizes the Missouri Homestead Preservation tax credit program
SB 1089,Onder,Requires long-term care facilities to assist employees and volunteers in obtaining an influenza vaccination each year
HB 2054,"Cornejo, Robert",Modifies provisions of law relating to the sale or consumption of alcohol
HB 2641,"Curtis, Courtney Allen",Allows Children's Services Funds to be used to fund juvenile delinquency prevention programs
HB 2663,"Moon, Mike","Provides if a person posts to prohibit the possession of firearms on the property, the posting entity assumes responsibility for the safety of a person permitted to carry a firearm if harmed on the property"
SB 1070,Romine,Modifies titles that may be issued for motor vehicles previously issued a junking certificate
SB 1103,Schaefer,Requires each public institution of higher education to report the institution's administrative costs as a percent of its operating budget
HB 2612,"Jones, Caleb",Authorizes a tax credit for charitable donations to Love INC
HB 2670,"Ross, Robert",Changes the laws regarding the purchase of state lands
SB 1127,Chappelle-Nadal,Requires the Department of Higher Education to create guidance regarding notice of public employee eligibility for public service loan forgiveness
SB 1107,Riddle,Prohibits the use of eminent domain for certain electric transmission line projects
HB 2364,"Rhoads, Shawn",Establishes requirements for closing certain law enforcement records
SB 1148,Schatz,Modifies language relating to the distribution of sales taxes in St. Louis County
HB 2668,"Korman, Bart","Provides that the state or a state department shall sell, transfer, or convey real property through a public auction except under certain circumstances"
SB 1140,Silvey,Modifies control and maintenance of the supplementary state highway system
SB 1136,Sater,Creates the Rx Cares for Missouri Program
SB 1086,Holsman,Modifies provisions of law relating to the average weekly wage of certain employees under workers' compensation laws
HJR 96,"Curtman, Paul",Proposes a constitutional amendment that prohibits penalties by the state against religious organizations or certain persons for beliefs or acts based on religious beliefs
SB 1121,Onder,Prevents taxation of certain telecommunication services
SB 1067,Wallingford,"Imposes a tax on unauthorized, controlled substances"
HCR 57,"Burlison, Eric",Applies to Congress for the calling of a convention to propose certain amendments to the United States Constitution which place limits on the federal government
HB 2527,"Anderson, Sonya",Creates the crime of assault of a sanitation worker
SJR 43,Chappelle-Nadal,Creates new constitutional amendment relating to congressional term limits
SB 1128,Riddle,Requires the Department of Elementary and Secondary Education to report in the statewide longitudinal data system the percentage of students in each school district who have received all required immunizations
SB 1109,Hegeman,Allows each school district may rely on technical course work and skills assessments developed for industry-recognized certificates and credentials when establishing career and technical education offerings
HB 2367,"McGaugh, Joe Don",Extends expiration dates for the Statewide Court Automation Fund and the Basic Civil Legal Services Fund
SB 1100,Jason Holsman,Authorizes the use of various incentives to attract jobs from Kansas border counties into Missouri
HB 2669,"Korman, Bart",Allows public administrators to sell property through public auctions
SB 1149,Chappelle-Nadal,Creates the Missouri Radon Awareness Act
SB 1142,Wieland,Allows enrollment in a health benefit plan by a pregnant person under certain circumstances
SB 1084,Pearce,Establishes an Early Learning Quality Assurance Report pilot program
SB 1125,Chappelle-Nadal,Modifies provisions relating to governing boards for unaccredited school districts
HB 2262,"Jones, Caleb",Requires the court to make findings of fact when the court orders that a juvenile shall be restrained during court proceedings
HB 2243,"Cornejo, Robert","Prohibits a county, city, village, town, or other political subdivision from participating in any action in federal court as a representative or member of a class to enforce or collect any tax"
SB 690,Nasheed,Establishes a tax credit for providing certain low-income veterans with housing
HJR 100,"Ross, Robert",Proposes a constitutional amendment to allow the Missouri Citizens' Commission on Compensation for Elected Officials schedule of compensation to be subject to appropriations
SB 923,Hegeman,Allows for a connected vehicle technology testing program
SB 1064,Brown,Requires the Department of Natural Resources to submit a budget analysis to certain committees in the General Assembly
SB 1045,Schaefer,Exempts fantasy sports from gambling laws
SB 885,Munzlinger,"Creates the ""Show Me Rural Jobs Act"""
SB 672,Chappelle-Nadal,Modifies provisions relating to instruction in human sexuality and sexually transmitted infections
HB 2659,"Cornejo, Robert",Allows earned compliance credits to be awarded to an offender on probation or conditional release for a misdemeanor offense
SB 1037,Schaefer,Modifies exemptions to duty to retreat when using force against another person
HB 1886,"Dogan, Shamed","Repeals the earnings tax in the cities of Kansas City and St. Louis on December 31, 2019"
SB 626,Nasheed,Requires higher education institutions to inform students and employees about affirmative consent to sexual activity
SB 777,Munzlinger,Allows students enrolled in approved virtual institutions to participate in the Access Missouri Financial Assistance Program
SB 815,Schmitt,"Requires all tax credit programs created on or after August 28, 2016 to comply with the Tax Credit Accountability Act of 2004"
HB 1518,"Ellington, Brandon","Allows certain small businesses to be eligible to claim any state tax credit, deduction, and other exemption from tax that specified corporations are allowed to claim"
HB 1887,"Dogan, Shamed","Prohibits the levying of an earnings tax on nonresidents of St. Louis City on January 1, 2018"
SB 609,Emery,Establishes the Missouri Empowerment Scholarship Accounts Program
SB 614,Cunningham,Increases the penalties for knowingly allowing a minor to drink or possess alcohol or failing to stop a minor from drinking or possessing alcohol
SB 895,Hegeman,"Modifies provisions relating to tax increment financing, emergency service providers, and board members of fire protection and ambulance districts"
HB 1809,"English, Keith","Repeals the earnings tax in the cities of Kansas City and St. Louis on December 31, 2017"
HB 2649,"Curtis, Courtney Allen","Authorizes the Department of Natural Resources to acquire certain property in Kinloch, Missouri for the establishment of a state park"
SB 709,Parson,Allows the Wine and Grape Tax Credit to be used for used equipment and caps the credit at one million dollars annually
SB 1035,Romine,Creates the Land Reclamation Legal Settlement Commission and Fund to implement primary restoration projects in southeast Missouri
HCR 107,"Colona, Mike",Urges the United States Congress to pass a bill that consents to the division of the City of St. Louis and the rest of Missouri into two separate states and urges the President to sign such bill into law.
HB 2646,"English, Keith",Caps school superintendent salaries and requires publication of school employee salaries in local newspapers
SB 927,Silvey,Authorizes incentives for data storage centers
HB 2656,"Colona, Mike","Provides that the City of St. Louis shall be allowed to legally secede from the state of Missouri, upon voter approval"
HB 2647,"Fraker, Lyndall",Modifies the state's requirements to reimburse counties for certain costs related to imprisonment and electronic monitoring for criminal offenders
SB 970,Brown,Modifies the certification procedures for licensing boat manufacturers and boat dealers
HB 2652,"Moon, Mike",Repeals provisions relating to English language instruction for nonnative speakers
HB 2648,"Mitten, Gina",Allows current members of the General Assembly who are summoned for jury service during a legislative session to obtain an extension not to exceed six months for such service
HB 2653,"Moon, Mike",Repeals a provision authorizing the Department of Social Services to offer grants to programs engaged in the resettling of refugees and legal immigrants
SB 1006,Munzlinger,Modifies provisions relating to videoconferencing at hearings before the Board of Probation and Parole
SCR 58,Gary Romine,Urges the National Geospatial-Intelligence Agency to build a new facility in St. Louis City
HB 2650,"McGaugh, Joe Don",Specifies that the continuing authority requirement to obtain a construction or operating permit is satisfied if the applicant is a registered LLC or other business organization
HB 2088,"Haahr, Elijah","Repeals the earnings tax in the cities of Kansas City and St. Louis on December 21, 2017"
HB 2654,"Moon, Mike",Requires refugees placed in the state under the federal Refugee Resettlement Program to register with the Department of Social Services
SB 671,Chappelle-Nadal,Modifies provisions relating to racial profiling in policing
SB 978,Sater,Establishes a pilot program allowing noncustodial parents to reduce the amount of state debt owed
HB 2477,"Frederick, Keith",Establishes the Predetermination of Health Care Benefits Act
SB 863,Wieland,"Creates regulations for the process of identifying deceased insureds and payments of life insurance death benefits for policies issued after January 1, 2018"
HB 1686,"Burns, Bob",Establishes procedures to allow certain cities to disincorporate
HCR 91,"Walton Gray, Rochelle","Designates May 21, 2016, as ""American Red Cross Minority Blood Drive Day"" in Missouri"
SB 710,Parson,Requires that an applicant for a navigator license must take an exam created by the Department of Insurance and submit to a criminal background check
HB 1452,"Hoskins, Denny",Changes the filing deadline for personal financial disclosure reports from May 10 annually to January 15 and July 15 biannually
HB 1914,"Hinson, Dave",Modifies provisions regarding the inclusion of an additional board of trustees member of a consolidated public library district
HB 2031,"Bahr, Kurt",Requires state board of education meetings to be recorded by video and posted on the website of the department of elementary and secondary education
HB 1994,"Cornejo, Robert",Establishes the Palliative Care and Quality of Life Interdisciplinary Council and the Palliative Care Consumer and Professional Information and Education Program
SB 999,Wallingford,Requires health insurers to make updates to their electronic and paper dental services provider materials available to plan members
HB 2095,"Chipman, Jason",Specifies financial information that public colleges and universities shall provide to students
HJR 56,"Burlison, Eric",Proposes a constitutional amendment to limit general revenue appropriations and mandate state income tax rate reductions in certain situations
SB 600,Chappelle-Nadal,Modifies provisions relating to hazardous waste
HB 1966,"Zerr, Anne",Authorizes a tax exemption for internet access or the use of internet access
SB 1055,Riddle,Authorizes legal counsel for the Department of Mental Health to have standing in certain hearings involving a person unable to stand trial due to lack of mental fitness
HCR 105,"Curtis, Courtney Allen",Designates Lincoln University as Missouri's flagship institution
HB 2639,"Leara, Mike",Provides that a degree in a program accredited by the Psychological Clinical Science Accreditation System meets various psychological licensure requirements.
SB 976,Nasheed,Modifies provisions relating to racial profiling in policing
SB 950,Wasson,Requires certain employers to file Missouri income tax returns electronically
HB 2645,"English, Keith",Requires gas corporations to repair pipelines and equipment necessary for a customer to benefit from the service even if the customer is not up to date with payments
HB 2643,"Lavender, Deb",Modifies provisions relating to the unlawful transfer of weapons
HB 2640,"Curtis, Courtney Allen",Prohibits a community children's services fund from transferring any funds to the state or certain cities
HB 2642,"Curtis, Courtney Allen",Designates Lincoln University as Missouri's flagship institution
HB 2226,"Barnes, Jay",Adds special executive branch appointees to the definition of public official
HB 1576,"Higdon, Galen",Establishes a commission on capitol security infrastructure
HB 1577,"Higdon, Galen",Establishes a commission on capitol security infrastructure
HB 2541,"Arthur, Lauren",Grants public safety officers a cause of action for damages for injuries occurring in the course of official duties
HB 2286,"Parkinson, Mark",Specifies that any person who fails to provide proof of motor vehicle financial responsibility will have the vehicle he or she is operating impounded until valid proof is provided and all fees are paid
HB 2625,"Neely, Jim",Allows for the use of medical marijuana to treat serious conditions
SB 636,Hegeman,Modifies provisions relating to health information organizations
HB 1840,"Gardner, Kimberly",Allows the victim's family or next of kin to sign a notarized statement directing the funeral home to be a claimant and deal directly with the Crime Victims' Compensation Fund
HB 2407,"Allen, Sue","Transfers and restructures the duties and powers of the Department of Health and Senior Services to the Department of Social Services, Department of Mental Health and Health, and the Department of MO Healthnet"
HB 1774,"Dogan, Shamed",Requires law enforcement agencies to have a written policy regarding the investigation of officer-involved deaths
HB 1734,"Davis, Charlie",Requires teachers to be certified in CPR
HB 1946,"Spencer, Bryan",Establishes the Student Accountability Act that gives those students with certain scores on an assessment a notation on their high school diploma
HB 1455,"Butler, Michael","Creates the Neighborhood Watch Fund, which provides state funding for political subdivisions and the wards of St. Louis City to establish neighborhood watch programs"
HB 1819,"McGaugh, Joe Don",Modifies provisions relating to the use of force and modifies provisions relating to firearms
HB 2315,"Bahr, Kurt",Allows parents and adult students to opt students out of statewide summative tests
HB 1389,"King, Nick","Establishes the Manufacturing Infrastructure Investment Act, which allows certain businesses to retain withholding taxes"
HB 1985,"McDaniel, Andrew",Requires MDHE to establish a website with information about transferability of post-secondary academic credit
HB 1454,"Butler, Michael",Allows a city to place unrecovered costs and overdue property fines on property tax bills
HB 2634,"Corlew, Kevin",Modifies the appeal procedure for decisions by the public service commission
SB 773,Onder,Creates the Missouri Electrical Industry Licensing Board and licensure requirements for a statewide electrical contractor's license
HB 1764,"Cornejo, Robert",Requires a church or other place of worship to provide explicit notice that concealed firearms are not allowed on the property
HCR 96,"Plocher, Dean","Urges Congress to enact the ""Toxic Exposure Research Act of 2015"""
HB 2268,"Carpenter, Jon","Requires long-term care insurers to file their premium rates with the Department of Insurance, Financial Institutions and Professional Registration and annual rate increases over 10% to be approved by dire"
HB 2635,"Fraker, Lyndall",Changes the laws regarding county employees' retirement so that sheriffs are considered county employees
HB 2628,"Green, Alan",Establishes the Missouri Minority Business Enterprise Loan Program
HB 2629,"Korman, Bart",Modifies provisions relating to the licensure of land surveyors
HB 2556,"Dugger, Tony",Changes the laws regarding the Property Assessment Clean Energy Act
HB 1911,"Hinson, Dave",Specifies that the levy rate for certain bond issues be set at the rate needed to meet the bond issue obligation and may be adjusted solely to meet such obligation
HB 2225,"Leara, Mike",Changes the laws regarding redevelopment of abandoned property to authorize tax credits for the redevelopment of certain former automobile manufacturing plants in St. Louis County
HB 2626,"Fitzwater, Travis",Requires the Oversight Division of the Joint Committee on Legislative Research to perform an actuarial analysis on the provision of marital and family therapy services to MO HealthNet participants
HB 2621,"Haefner, Marsha",Adds to the list of hate crimes certain offenses committed against law enforcement officers and first responders when the offenses are committed because the person is a law enforcement officer or first responder
SB 890,Emery,Requires a person who has been found guilty of driving while intoxicated to complete a victim impact program approved by the court
SB 979,Hegeman,"Establishes guidelines for foster child caregivers, foster child involvement in case plans, and permanency hearings"
SR 1562,Kehoe,Silver Haired Legislature
HCR 103,"Berry, T.J.",Applies to Congress for the calling of a convention to propose an amendment to the United States Constitution for free and fair elections
SB 705,Dixon,Modifies laws relating to public defenders
HB 1783,"Barnes, Jay",Changes the laws regarding retirement benefits being subject to domestic relations orders
SB 886,Walsh,Adds an element to the crime of aggravated or first degree stalking
HCR 60,"Love, Warren",Urges Congress to remove the trade restrictions with Cuba
HB 1753,"Bahr, Kurt","Allows structured family caregiving as a covered service under MO HealthNet, subject to the approval of federal waivers"
HB 1600,"Shaul, Dan",Establishes additional rules and procedures for certain counties' tax increment financing commission
HB 1965,"Zerr, Anne",Establishes a pilot program allowing noncustodial parents to reduce the amount of state debt owed
HB 2619,"Kendrick, Kip",Requires the Department of Health and Senior Services to conduct a feasibility study of public and private options for leveraging private resources to help individuals prepare for long-term support needs
HCR 104,"Cookson, Steve",Urges Congress to determine if the Committee on Foreign Investment in the United States reviewed any contract between GDC Tehnics and MAZ Aviation
SB 707,Dixon,Modifies provisions relating to county prosecuting attorneys
SR 1560,Kehoe,MO Youth Leadership Forum-Students with Disabilities
SB 931,Schaefer,Modifies sentencing and supervision provisions for offenders of sex crimes against children
HJR 99,"Burlison, Eric",Proposes a constitutional amendment relating to parental rights
SR 1561,Kehoe,Missouri YMCA Youth in Government
HB 2283,"McCaherty, John",Requires certain employees of the Department of Corrections to receive hazardous duty pay
HB 2148,"Vescovo, Rob",Modifies provisions relating to fairness in public construction
HB 2322,"Rowden, Caleb",Changes the law regarding tax increment financing
HB 2087,"Lynch, Steve",Specifies that a qualified company under the Missouri Works Program includes the United States Department of Defense under certain circumstances
HB 1406,"White, Bill",Prohibits the Missouri Housing Development Commission from requiring a prevailing hourly wage to be paid to a contractor on a project for a housing tax credit if it is in a Governor-declared disaster area
HB 2623,"Korman, Bart",Changes the laws regarding the highway patrol so that it is funded under the general revenue
SB 963,Wallingford,Modifies provisions relating to the Children's Division
HJR 86,"Kolkmeyer, Glen",Proposes a constitutional amendment authorizing the Speaker of the House of Representatives to make certain gubernatorial appointments if the Governor fails to do so within certain time frames
HB 2430,"Allen, Sue",Establishes requirements for co-payments and notice of insurance coverage for occupational therapy
SB 767,Schmitt,Requires public colleges and universities to post certain course information on their Internet websites
HB 2224,"Chipman, Jason",Changes laws relating to the expungement of records
HB 1856,"Gosen, Don",Changes the laws regarding the retail practices related to alcohol
SB 1024,Parson,"Prohibits political subdivisions from requiring that pet shops sell only animals obtained from a pound, animal shelter, or contract kennel"
HB 2434,"Gardner, Kimberly",Establishes a pilot program in St. Louis City to be known as the Intervention and Compliance Unit Pilot Program to address rising serious violent crime in the city
HR 581,"Bernskoetter, Mike","Grants the use of the House Chamber to the Silver Haired Legislature on October 19 and 20, 2016"
HB 2131,"Kelley, Mike",Establishes the option of a nondriver's license that is in compliance with the federal Real ID Act of 2005
SB 834,Sifton,Authorizes a retail sales tax in St. Louis County to fund county law enforcement
HB 2615,"Green, Alan",Requires gas corporations to repair pipelines and equipment necessary for a customer to benefit from the service even if the customer is not up to date with payments
HB 1821,"McGaugh, Joe Don",Authorizes income tax credits for qualified alternative fuel vehicles
HB 1771,"Dogan, Shamed",Allows a candidate to file for candidacy in more than one political party primary
HB 2539,"Dugger, Tony",Changes the laws regarding private trust companies
HB 1742,"Brattin, Rick",Requires all inmates receiving an on-site non-emergency medical examination or treatment from correctional center personnel to be charged 50 cents per visit
HB 2097,"Chipman, Jason",Specifies circumstances in which athletic programs at public colleges and universities shall maintain athletic scholarships for student-athletes who are injured
HB 2610,"Ross, Robert",Allows persons who serve at least two years in the Missouri General Assembly to practice law as an attorney or become an associate or a circuit court judge
SB 954,Pearce,Modifies the retirement allowance calculation for members of the Public School Retirement System with thirty-one or more years of service
HB 2608,"Kirkton, Jeanne",Requires corporations to include in their bylaws adequate procedures for assessing the will of the majority of the stockholders regarding contributions and expenditures
SB 969,Brown,Modifies provisions relating to tuition assistance for combat veterans
HR 387,"Hill, Justin","Grants the use of the House Chamber for the presentation of the Glory Awards on March 1, 2016"
HB 2138,"Green, Alan",Removes the prohibition against department of revenue compliance with the federal Real ID Act of 2005
HB 2614,"Fitzpatrick, Scott",Transfers the State Environmental Improvement and Energy Resources Authority to the Department of Natural Resources
HJR 54,"Shumake, Lindell",Proposes a constitutional amendment authorizing $50 million in bonds for veterans homes
HB 2070,"Franklin, Diane","Changes the definition of ""remains of a human fetus"""
HB 2598,"Shaul, Dan",Changes the law regarding the advertisement of intoxicating liquor
HB 1694,"Chipman, Jason",Contains provisions relating to governor's writ of elections for vacancies created in either house of the General Assembly
HB 2602,"Brattin, Rick",Allows the Missouri Vocational Enterprise to sell products online
HB 2372,"Zerr, Anne",Prohibits any owner of a sports team from receiving any government incentive if the team leaves a publicly funded stadium before the stadium is paid for
SB 746,Mike Kehoe,Modifies laws regarding arbitration agreements between employers and at-will employees
HB 2149,"Engler, Kevin",Creates provisions relating to electrical contractor certificates
HB 1579,"Jones, Caleb",Establishes the Missouri Health Information Exchange Commission
HB 2198,"Curtman, Paul","Provides that elections to approve the imposition of, or increase in, a tax, license, fee, or levy shall only be held on the general election day or the primary election day designated in Section 115.121"
HB 2071,"Franklin, Diane",Changes the laws regarding abortions and required tissue reports
HB 1736,"Davis, Charlie",Modifies definitions relating to low-income housing tax credits
SB 761,Chappelle-Nadal,Exempts marijuana from certain forfeiture provisions relating to controlled substances
HB 2068,"Franklin, Diane",Changes the laws regarding the prohibition on the sale of aborted fetal remains
HB 2595,"Ellington, Brandon",Allows school districts to create magnet schools and changes provisions regarding the powers of superintendents
SB 1023,Parson,Creates standards for predetermination of health care benefits requests and responses
SB 971,Dixon,Modifies provisions relating to records of minor victims of sexual offenses
HB 2601,"Rowden, Caleb",Requires that one voting member of the University of Missouri Board of Curators be a student
HB 2597,"Carpenter, Jon",Provides that there shall be no discrimination between professional counselors and other mental health professionals licensed under Chapter 337
HB 2220,"Brattin, Rick",Establishes procedures that require each state department to submit a budget analysis reporting on all expenditures to the appropriations committee which oversees the department
HB 2604,"Davis, Charlie",Prohibits animal rights charitable organizations from soliciting contributions intended for use outside the state or for political purposes
HB 2596,"Ellington, Brandon",Provides a method for judicial consideration of whether race played a role in decisions to impose or seek the death penalty
HB 2603,"McCreery, Tracy",Prohibits certain individuals from possessing a firearm due to domestic violence and requires police officers to remove firearms at the scene of a domestic violence call
SB 1046,Schaefer,"Defines ""motorcycle profiling"" and creates regulations to eliminate motorcycle profiling"
HR 312,"Hicks, Ron",Grants the use of the House Chamber for the presentation of the Glory Awards to St. Dominic High School on March 14
SB 1038,Nasheed,Changes the amount of restitution paid to an individual wrongfully convicted
SB 1062,Brown,Requires that any standards developed by the State Board of Education for the purposes of determining a child's eligibility for special educational services shall allow the consideration of trauma as a result of experience in foster care
SB 1053,Pearce,Requires the Oversight Division of the Joint Committee on Legislative Research to perform an actuarial analysis on the provision of marital and family therapy services to MO HealthNet participants
SB 1056,Riddle,Allows physician assistants to determine the necessity of physical or chemical restraint of a patient in a mental health facility or program
SB 597,Brown,Modifies the law relating to special elections
SB 701,Schatz,Modifies the law relating to vacancies in the office of county commissioner
SB 872,Munzlinger,Modifies provisions relating to vacancies in county-elected offices
HB 2288,"Parkinson, Mark",Prohibits a school district from entering into a contract with any teacher for unpaid leave that results in the teacher receiving funds from the district when another organization is reimbursing the district
HB 1949,"Spencer, Bryan",Requires school board candidates to undergo background checks
SB 1063,Sater,Requires hospitals to offer a pneumococcal vaccine to all inpatients 65 or older prior to discharge
SB 1029,Schupp,Modifies several provisions relating to student safety
SB 1052,Pearce,Requires the Department of Health and Senior Services to promulgate regulations for the construction and renovation of hospitals which include certain standards
HB 2442,"Rowden, Caleb","Authorizes any city, county, or city not within a county to create a personnel advisory board to review corrective or disciplinary actions concerning law enforcement officers"
SB 1058,Schaaf,Creates a voluntary replacement alternative program for children's vaccines which do not contain human DNA content
SB 1054,Schaefer,Modifies requirements relating to the pursuance and acceptance of grants by public school districts
HB 2593,"Swan, Kathryn",Excludes funds designated by taxpayers in an urban district as local early childhood education funds from the local tax revenue calculation used to provide funding to certain charter schools
SB 1049,Jason Holsman,Creates new provisions of law relating to leave from employment
SB 1039,Silvey,Allows certain municipal hospitals to invest 25% of their funds in investment funds
HB 2466,"Rowden, Caleb",Establishes the Community Crime Reduction Grant Pilot Program
HB 2592,"Bernskoetter, Mike",Increases the allowable monthly amount to be credited to each participant's state employee deferred compensation account from up to $75 to up to $100
HR 495,"Bernskoetter, Mike","Grants the use of the House Chamber to the YMCA Youth in Government State Conventions from November 10-12, 2016, and December 1-3, 2016"
SB 1044,Wasson,Modifies provisions required to be in nuisance abatement ordinances enacted by municipalities and counties
HB 2579,"Kirkton, Jeanne",Changes the laws regarding real property to require the filing of a certificate of value before filing a document transferring interest in real property
HB 2582,"Moon, Mike",Prohibits the enforcement of any federal regulation by any state department or agency unless the enforcement is approved by the General Assembly
HB 2584,"Morris, Lynn",Establishes a voluntary replacement alternative program for children's vaccines which do not contain human DNA content
HCR 77,"Gardner, Kimberly",Designates April 4 of each y ear as Maya Angelou Day of Recognition in Missouri
HCR 89,"Walton Gray, Rochelle","Designates September 18-24, 2016, as ""Sickle Cell Awareness Week"" in Missouri"
SB 574,Schmitt,Increases the amount of the personal income tax cut and the business income deduction in current law
SJR 33,Schmitt,Amends the Constitution to limit general revenue appropriations and mandate state income tax rate reductions in certain situations
HB 1931,"Love, Warren",Repeals provisions relating to prevailing wages on public works
HB 1396,"McCreery, Tracy",Modifies provisions relating to the Address Confidentiality Program
HB 1533,"Brown, Wanda",Changes the laws regarding local tourism taxes by adding the city of Archie to the list of political subdivisions allowed to impose such taxes
HB 1425,"Walker, Nate",Allows camping trailers more than twenty-five years old to be permanently registered and to be issued historic trailer license plates
HB 1989,"Ruth, Becky","Establishes the ""Waterways Trust Fund"""
HB 1823,"McGaugh, Joe Don","Exempts certain structures used for agricultural purposes from county health orders, ordinances, rules, or regulations"
HB 1393,"King, Nick","Authorizes the City of Liberty to impose, upon voter approval, a sales tax up to .5% for the purpose of improving the public safety of the city"
HB 2063,"Mathews, Kirk",Creates the Missouri Electrical Industry Licensing Board and licensure requirements for a statewide electrical contractor's license
HB 2113,"Eggleston, J.",Extends the expiration date on the authority of the commission of a regional jail district to submit a ballot proposal imposing a sales tax
HB 1667,"Swan, Kathryn",Specifies that charter schools become eligible to receive state funding for early childhood education at the same time as the district in which they are located becomes eligible
HB 1722,"Wiemann, John",Specifies requirements for public employee labor organizations
SB 1000,Wallingford,Provides a tax deduction for income earned out of state
SB 922,Riddle,Allows structured family caregiving as a covered service under MO HealthNet
SB 925,Sifton,Creates the MO HealthNet Buy-In for Workers with Disabilities program
HB 2572,"Mitten, Gina",Requires legislative lobbyists and legislative liaisons to complete sexual harassment training offered by the Missouri ethics commission
SJR 40,Schaaf,Provides that the Citizens' Commission on Compensation for Elected Officials shall set the compensation for certain elected officials at a specific dollar amount
HB 2567,"McGaugh, Joe Don",Prohibits members of the General Assembly who hold leadership positions from serving as paid employees of any organization that has designated registered lobbyists in this state
SJR 38,Schaefer,Creates a new constitutional provision relating parental rights
HB 2571,"Dunn, Randy",Establishes the Missouri Early Childhood Education Act which allows children four and five years of age to attend early childhood programs under certain circumstances
HB 2114,"Kelley, Mike",Authorizes Barton County to repeal a property tax in favor of a sales tax dedicated to hospital district
HB 2169,"Reiboldt, Bill",Authorizes an income tax exemption for payments from agricultural disaster programs
SB 585,David Sater,Divides the Thirty-Eighth Judicial Circuit and creates a new Forty-Sixth Judicial Circuit
HCR 94,"Hummel, Jacob",Urges the National Geospatial-Intelligence Agency to remain in St. Louis by building a new facility in the city
HB 1650,"Corlew, Kevin",Establishes a limit on residential property assessment increases for the elderly and disabled who own and live in their principal residence proportional to the increase of their Social Security benefit
SB 593,Parson,Prohibits the effectiveness of any federal regulation not authorized by federal law in the state of Missouri unless authorized by the General Assembly
HB 2557,"Berry, T.J.",Authorizes community improvement districts created by Kansas City in Clay County to impose a sales tax and modifies the uses of the funds
HJR 95,"Ellington, Brandon",Proposes a constitutional amendment to require public approval in the relevant county before authorizing tax increment financing
SB 928,Munzlinger,Modifies privacy protections for certain agricultural entities
HB 2075,"Spencer, Bryan",Specifies that abandoned property reports required to be signed by law enforcement must be signed by a law enforcement officer with jurisdiction over the location form which the abandoned property was towed
SB 846,Parson,Modifies provisions regarding county law enforcement restitution funds
SB 651,Keaveny,"Modifies the definition of ""current operating expenditures"" for the purposes of state funding and applies the definition of ""average daily attendance"" to charter schools"
HB 1371,"Miller, Rocky",Modifies motorcycle helmet law
HB 2091,"Chipman, Jason",Changes provisions relating to the costs of detention
SB 691,Nasheed,Requires the reporting of lost or stolen firearms
HB 1657,"Kelley, Mike",Prohibits law enforcement from stopping a motorcycle for failing to wear protective headgear
SB 628,Nasheed,Requires law enforcement agencies in certain cities to require their officers to wear a camera while on duty and in uniform and record all contacts with people
HB 2096,"Chipman, Jason",Specifies that public colleges and universities shall not require their students to pay fees related to health care if they show proof of health insurance coverage
SB 712,David Pearce,Modifies the Access Missouri Financial Assistance Program by adding eligibility requirements
HB 1967,"Berry, T.J.",Requires electrical corporations to track costs for complying with the Clean Power Plan and itemize such costs on customer bills
HB 2302,"Rowden, Caleb",Establishes the Missouri Angel Investment Incentive Act
